id,grade,difficulty,question,option1,option2,option3,option4,answer
482,3,easy,2 ÷ 1 = ?,2,3,5,-5,2
483,1,medium,13 × 23 = ?,299,294,297,289,299
484,1,medium,4 ÷ 4 = ?,8,0,1,-8,1
485,1,hard,24 × 90 = ?,2160,2165,2163,2170,2160
486,1,medium,41 + 47 = ?,88,90,91,94,88
487,2,hard,46 + 20 = ?,75,59,66,71,66
488,4,easy,2 - 10 = ?,-8,-2,-18,-15,-8
489,5,hard,70 ÷ 10 = ?,11,10,2,7,7
490,2,easy,4 ÷ 4 = ?,-3,1,-6,6,1
491,2,easy,4 + 2 = ?,13,7,1,6,6
492,5,easy,8 - 8 = ?,-1,0,8,-10,0
493,3,medium,6 + 24 = ?,38,27,36,30,30
494,4,easy,14 ÷ 2 = ?,-1,7,17,14,7
495,1,hard,86 × 56 = ?,4817,4823,4825,4816,4816
496,2,hard,55 + 31 = ?,90,77,86,80,86
497,5,hard,39 + 36 = ?,81,75,80,67,75
498,1,hard,56 ÷ 7 = ?,-1,8,3,0,8
499,2,medium,7 ÷ 7 = ?,3,8,10,1,1
500,1,medium,47 × 19 = ?,893,903,895,900,893
